ID	Fold	Predicted
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj12-l1.qa183	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj26-l1.qa224	0	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj26-l1.qa225	0	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj27-l1.qa205	0	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj35-l1.qa207	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj48-l1.qa188	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb3-l1.qa182	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb11-l1.qa164	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb24-l1.qa167	0	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj3-l1.qa194	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj11-l1.qa214	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj13-l1.qa223	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj18-l1.qa183	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb16-l1.qa162	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb22-l1.qa171	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj10-l1.qa215	0	irrelevant
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj18-l1.qa185	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj24-l1.qa229	0	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj39-l1.qa233	0	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj40-l1.qa224	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj42-l1.qa207	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb5-l1.qa172	0	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb11-l1.qa167	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb13-l1.qa164	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb18-l1.qa174	0	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb20-l1.qa174	0	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb28-l1.qa167	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj3-l1.qa208	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj8-l1.qa243	0	partially_correct_incomplete
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj10-l1.qa228	0	contradictory
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj10-l1.qa230	0	contradictory
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj15-l1.qa248	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj19-l1.qa267	0	partially_correct_incomplete
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj29-l1.qa217	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj30-l1.qa210	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj47-l1.qa239	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbjb29-l1.qa177	0	contradictory
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbjb31-l1.qa173	0	contradictory
FaultFinding-BULB_ONLY_EXPLAIN_WHY4.sbj31-l1.qa218	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbj22-l1.qa232	0	contradictory
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbj22-l1.qa234	0	contradictory
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbj27-l1.qa228	0	contradictory
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbj39-l1.qa249	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbjb15-l1.qa177	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbjb20-l1.qa188	0	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbjb34-l1.qa175	0	correct
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj8-l1.qa257	0	partially_correct_incomplete
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj10-l1.qa247	0	contradictory
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj10-l1.qa248	0	correct
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj23-l1.qa211	0	correct
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj23-l1.qa213	0	contradictory
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj26-l1.qa260	0	partially_correct_incomplete
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj36-l1.qa243	0	partially_correct_incomplete
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj40-l1.qa254	0	contradictory
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbjb6-l1.qa183	0	correct
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbjb9-l1.qa196	0	correct
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbjb11-l1.qa186	0	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj3-l1.qa144	0	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj12-l1.qa134	0	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj14-l1.qa157	0	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj26-l1.qa169	0	non_domain
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj27-l1.qa154	0	partially_correct_incomplete
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj30-l1.qa140	0	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj35-l1.qa150	0	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj36-l1.qa155	0	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb1-l1.qa123	0	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb6-l1.qa121	0	contradictory
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb12-l1.qa123	0	non_domain
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb17-l1.qa122	0	contradictory
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb34-l1.qa118	0	correct
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb35-l1.qa119	0	contradictory
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbjb40-l1.qa119	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj8-l1.qa162	0	correct
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj9-l1.qa132	0	correct
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj9-l1.qa134	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj13-l1.qa157	0	correct
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj14-l1.qa154	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj24-l1.qa148	0	partially_correct_incomplete
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj26-l1.qa166	0	partially_correct_incomplete
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj31-l1.qa143	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj36-l1.qa152	0	correct
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj42-l1.qa149	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj46-l1.qa151	0	partially_correct_incomplete
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj47-l1.qa167	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb12-l1.qa122	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb13-l1.qa119	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb27-l1.qa117	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb32-l1.qa121	0	correct
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb37-l1.qa117	0	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbjb42-l1.qa120	0	contradictory
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj8-l1.qa210	0	correct
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj14-l1.qa195	0	non_domain
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj24-l1.qa204	0	contradictory
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj26-l1.qa207	0	correct
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbj30-l1.qa178	0	correct
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbjb1-l1.qa153	0	contradictory
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbjb19-l1.qa151	0	contradictory
FaultFinding-VOLTAGE_DEFINE_Q.sbj10-l1.qa239	0	non_domain
FaultFinding-VOLTAGE_DEFINE_Q.sbj13-l1.qa245	0	contradictory
FaultFinding-VOLTAGE_DEFINE_Q.sbj15-l1.qa253	0	contradictory
FaultFinding-VOLTAGE_DEFINE_Q.sbj23-l1.qa206	0	contradictory
