ID	Fold	Actual	Predicted
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbjb12-l1.qa186	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbjb22-l2.qa87	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj19-l2.qa143	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj14-l1.qa44	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbjb2-l2.qa115	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_5.sbj11-l1.qa74	1	partially_correct_incomplete	correct
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj27-l1.qa236	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbjb37-l1.qa138	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-VOLTAGE_AND_GAP_DISCUSS_Q.sbjb34-l1.qa146	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q3.sbjb31-l2.qa56	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbjb18-l2.qa112	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbjb40-l1.qa181	1	partially_correct_incomplete	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj15-l1.qa195	1	partially_correct_incomplete	correct
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj26-l1.qa49	1	partially_correct_incomplete	contradictory
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj11-l1.qa163	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj19-l2.qa78	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj8-l2.qa61	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj12-l2.qa149	1	partially_correct_incomplete	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbj24-l1.qa181	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbjb2-l2.qa70	1	partially_correct_incomplete	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb34-l1.qa160	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbj46-l2.qa101	1	partially_correct_incomplete	correct
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_4.sbj34-l1.qa46	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj46-l1.qa149	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbjb22-l2.qa54	1	partially_correct_incomplete	non_domain
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj7-l1.qa37	1	partially_correct_incomplete	contradictory
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj23-l1.qa46	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj22-l1.qa157	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q2.sbj46-l2.qa53	1	partially_correct_incomplete	contradictory
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj12-l1.qa152	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj36-l2.qa141	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q2.sbjb15-l2.qa79	1	partially_correct_incomplete	correct
FaultFinding-VOLTAGE_DIFF_DISCUSS_1_Q.sbj31-l1.qa185	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q3.sbjb32-l2.qa56	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q3.sbj19-l2.qa81	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj29-l2.qa44	1	partially_correct_incomplete	correct
SwitchesBulbsSeries-SWITCH_OPEN_EXPLAIN_Q.sbj37-l1.qa71	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q3.sbjb31-l2.qa124	1	partially_correct_incomplete	correct
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj10-l1.qa244	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj46-l2.qa132	1	partially_correct_incomplete	correct
SwitchesBulbsSeries-SHORT_CIRCUIT_X_Q.sbj24-l1.qa45	1	partially_correct_incomplete	non_domain
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj37-l1.qa47	1	partially_correct_incomplete	correct
SwitchesBulbsSeries-CONDITIONS_FOR_BULB_TO_LIGHT.sbj24-l1.qa38	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj31-l1.qa229	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj3-l2.qa43	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q2.sbjb39-l2.qa43	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q2.sbj19-l2.qa140	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj40-l2.qa136	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj36-l1.qa214	1	partially_correct_incomplete	correct
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbjb28-l1.qa45	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj36-l2.qa98	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q3.sbjb20-l2.qa44	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj15-l1.qa233	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q3.sbjb22-l2.qa94	1	partially_correct_incomplete	contradictory
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj9-l1.qa203	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q3.sbjb22-l2.qa56	1	partially_correct_incomplete	correct
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj27-l1.qa238	1	partially_correct_incomplete	correct
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj37-l1.qa214	1	partially_correct_incomplete	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY4.sbjb17-l1.qa178	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj36-l2.qa129	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbjb21-l2.qa103	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj19-l2.qa142	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj22-l2.qa42	1	partially_correct_incomplete	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj15-l1.qa232	1	partially_correct_incomplete	contradictory
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbjb26-l1.qa41	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj42-l2.qa79	1	partially_correct_incomplete	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbjb24-l1.qa181	1	partially_correct_incomplete	non_domain
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2.sbj28-l2.qa144	1	partially_correct_incomplete	contradictory
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY1.sbj45-l1.qa161	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbjb35-l2.qa43	1	partially_correct_incomplete	irrelevant
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj15-l1.qa77	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj47-l2.qa50	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj33-l2.qa107	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q3.sbj43-l2.qa62	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q3.sbjb15-l2.qa125	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_5.sbj15-l1.qa82	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q3.sbj19-l2.qa127	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_2.sbj47-l1.qa63	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q1.sbj31-l2.qa98	1	partially_correct_incomplete	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbjb7-l1.qa138	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj24-l1.qa241	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q1.sbj46-l2.qa98	1	partially_correct_incomplete	correct
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_4.sbjb25-l1.qa42	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q1.sbj35-l2.qa94	1	partially_correct_incomplete	contradictory
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj39-l2.qa73	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_4.sbj26-l1.qa67	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj43-l2.qa127	1	partially_correct_incomplete	correct
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q3.sbj29-l2.qa125	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj23-l2.qa63	1	partially_correct_incomplete	contradictory
FaultFinding-VOLTAGE_DEFINE_Q.sbj33-l1.qa218	1	partially_correct_incomplete	partially_correct_incomplete
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q3.sbj28-l2.qa51	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-TERMINAL_STATE_EXPLAIN_Q.sbj48-l1.qa136	1	partially_correct_incomplete	partially_correct_incomplete
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbj28-l1.qa176	1	correct	correct
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj3-l2.qa44	1	correct	partially_correct_incomplete
SwitchesBulbsSeries-DAMAGED_BULB_EXPLAIN_2_Q.sbjb20-l1.qa90	1	correct	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY6.sbj12-l1.qa200	1	correct	correct
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbjb2-l1.qa184	1	correct	contradictory
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q3.sbj13-l2.qa100	1	correct	correct
SwitchesBulbsParallel-HYBRID_BURNED_OUT_WHY_Q2.sbj34-l2.qa125	1	correct	correct
SwitchesBulbsSeries-SHORT_CIRCUIT_EXPLAIN_Q_4.sbj9-l1.qa54	1	correct	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj24-l1.qa188	1	correct	correct
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY4.sbj31-l1.qa172	1	correct	correct
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_EXPLAIN_Q1.sbj38-l2.qa83	1	correct	correct
