id	qid	testSet	module	count	accuracy
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj12-l1.qa183	BULB_C_VOLTAGE_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj26-l1.qa224	BULB_C_VOLTAGE_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj26-l1.qa225	BULB_C_VOLTAGE_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj27-l1.qa205	BULB_C_VOLTAGE_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj35-l1.qa207	BULB_C_VOLTAGE_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj48-l1.qa188	BULB_C_VOLTAGE_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb3-l1.qa182	BULB_C_VOLTAGE_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb11-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb24-l1.qa167	BULB_C_VOLTAGE_EXPLAIN_WHY1	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj3-l1.qa194	BULB_C_VOLTAGE_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj11-l1.qa214	BULB_C_VOLTAGE_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj13-l1.qa223	BULB_C_VOLTAGE_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj18-l1.qa183	BULB_C_VOLTAGE_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb16-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb22-l1.qa171	BULB_C_VOLTAGE_EXPLAIN_WHY2	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj10-l1.qa215	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj18-l1.qa185	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj24-l1.qa229	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj39-l1.qa233	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj40-l1.qa224	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj42-l1.qa207	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb5-l1.qa172	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb11-l1.qa167	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb13-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbjb18-l1.qa174	BULB_C_VOLTAGE_EXPLAIN_WHY6	unseen-answers	FaultFinding	1	incorrect
